"leaid","enr_tot_d","region_d","nschools_elig","epp_d_imp","nschools","enr_tot_imp_avg_d","sme_pct_frp_avg_d","strat_d","distance_d_y","lottery_d_start","lottery_d_end"
3904510,7929,2,5,11721.87890625,13,603.799987792969,0.429415285587311,"6",0.0488094724714756,5814,5818
3904511,2762,2,1,9097.5185546875,5,449,0.614699304103851,"6",0.0569365546107292,5297,5297
3904513,10342,2,11,12755.7783203125,18,491.636352539063,0.25150391459465,"6",0.0743807405233383,13321,13331
3904515,4130,2,5,11265.1337890625,8,379.600006103516,0.71424663066864,"6",0.0677799880504608,1587,1591
3904516,5252,2,9,18453.6171875,15,361.444458007813,0.659345746040344,"6",0.0679420828819275,13366,13374
3904517,3192,2,3,12894.5751953125,6,648.333312988281,0.972985982894897,"6",0.108695589005947,29689,29691
3904518,865,2,1,10145.1611328125,2,464,0,"6",0.110330604016781,14571,14571
3904521,1187,2,1,8805.1064453125,3,592,0,"6",0.113271437585354,37754,37754
3904522,473,2,1,12294.5888671875,2,245,0,"6",0.109649889171124,11204,11204
3904524,1478,2,2,10848.9716796875,3,429.5,0.620839834213257,"6",0.0554511472582817,38889,38890
3904525,828,2,1,11269.7841796875,2,635,0.464566916227341,"6",0.0442858785390854,15316,15316
3904526,859,2,1,11077.017578125,2,374,0.374331563711166,"6",0.0547997280955315,13860,13860
3904527,1903,2,3,11200.19921875,6,289.333343505859,0.498553991317749,"6",0.0376362279057503,30756,30758
3904533,780,2,1,11033.375,3,415,0.365168541669846,"6",0.0565735884010792,10646,10646
3904536,717,2,1,10877.16796875,2,308,0.506493508815765,"6",0.0389831028878689,12021,12021
3904537,1073,2,1,9714.2861328125,2,583,0.5677530169487,"6",0.050809558480978,31442,31442
3904538,902,2,1,10476.4453125,3,420,0.354761898517609,"6",0.0587994903326035,9599,9599
3904540,1925,2,3,11498.2275390625,5,309,0.57753449678421,"6",0.0483533069491386,33373,33375
3904541,907,2,1,11791.8505859375,2,518,0,"6",0.109381310641766,23838,23838
3904545,867,2,1,9994.5537109375,2,448,0.691964268684387,"6",0.0668544098734856,9957,9957
3904548,845,2,1,10513.3251953125,3,373,0,"6",0.108963146805763,5997,5997
3904549,7778,2,7,12221.3935546875,12,479,0.279423296451569,"6",0.0696043893694878,30385,30391
3904550,6625,2,6,10021.984375,9,576.166687011719,0.197574406862259,"6",0.0833821147680283,26699,26704
3904551,1451,2,1,10042.4658203125,3,688,0,"6",0.1127023473382,17094,17094
3904552,902,2,1,11258.771484375,2,486,0,"6",0.109173104166985,2770,2770
3904553,1139,2,1,10531.4052734375,3,551,0.493647903203964,"6",0.0402033589780331,32795,32795
3904555,2326,2,3,11900.291015625,5,437,0.415657371282578,"6",0.0493241772055626,18581,18583
3904557,1418,2,2,11409.6298828125,4,383,0.444489240646362,"6",0.0444558225572109,28964,28965
3904567,697,2,1,11532.7099609375,2,362,0.350828737020493,"6",0.0575104728341103,15203,15203
3904575,1138,2,1,8840.435546875,3,546,0,"6",0.11276675760746,20937,20937
3904576,1747,2,1,9224.6748046875,3,835,0.438323348760605,"6",0.0525697097182274,130,130
3904578,760,2,1,10739.505859375,2,416,0.847494542598724,"6",0.0878305658698082,8322,8322
3904583,892,2,1,9021.052734375,3,398,0.379396975040436,"6",0.0568606145679951,20952,20952
3904585,1737,2,2,9841.1591796875,4,398,0.618090450763702,"6",0.0559897720813751,13880,13881
